2425	1565
2712	4821
4310	3524
645	323
3390	1696
2709	3216
4098	2045
2988	689
2080	1350
3375	2899
1497	1856
1298	1849
1451	1562
3737	1971
3279	3813
964	1859
2918	1211
118	457
281	275
793	1250
2571	3671
3767	3125
3055	4277
732	962
214	61
4439	4522
4279	4931
1115	1847
638	3068
4501	2221
5111	2953
2686	1397
2970	2184
1274	880
1525	1275
2647	2524
493	1245
3743	3795
4612	4923
1652	3870
2441	4346
3131	2945
4413	2126
239	318
1372	1139
317	497
2468	1778
2903	2881
544	137
2890	3617
307	160
594	1372
1633	995
4535	2907
3251	4359
4258	2803
909	2658
4222	1687
660	394
3431	2665
1639	2171
1670	940
2044	2103
1730	1692
3074	2569
2685	2435
1892	959
351	3283
4344	1267
3831	5000
3559	704
486	189
2816	975
58	9
1898	1693
5129	3946
1644	1550
2671	4890
2851	1214
2936	664
1569	1714
596	1990
4529	4963
1017	794
3283	2447
3034	3427
5142	2697
3007	1668
108	1360
3331	1226
4454	1026
995	2891
2513	5075
3902	3528
4103	3565
5224	4856
1807	4260
2034	4987
4415	3150
782	1434
263	252
3296	3162
1689	3695
180	126
3671	1621
323	69
2540	1110
1421	2545
3457	1195
3642	3989
1540	3785
3410	3097
3306	2731
4497	3675
1808	2274
256	253
1502	90
1490	4980
2373	2781
5010	3396
3824	4400
4851	4670
482	4939
5114	4907
1554	2216
2983	1652
2570	3107
1176	1093
349	485
629	710
1626	1146
3356	3485
3913	3773
1844	1818
631	363
3361	2343
171	1618
4615	4636
2332	615
2335	1942
3568	4905
419	527
1477	2463
2275	224
111	477
4149	834
1555	5077
3566	3444
956	344
1379	1504
1969	173
1168	1868
1526	819
229	460
4926	4022
2554	3778
2637	1954
4698	1943
999	198
4976	3685
3318	3163
3224	2769
5219	4955
2705	848
194	144
3931	3226
4221	2358
2998	510
200	21
4145	4332
736	2333
2566	2329
3351	3959
4891	3525
1398	1809
643	3356
3059	2671
1476	1365
3951	2110
5135	5110
2073	3012
2281	3394
3373	3571
2850	1543
3877	1221
297	333
1222	4716
2640	2628
3215	4415
357	1069
3585	3637
1545	3838
1827	2259
4862	3194
3025	1519
600	3397
1994	3750
4915	3846
1070	490
3665	4762
908	4566
3993	3053
2896	627
3153	930
936	530
238	150
3734	677
3013	499
165	827
1161	296
619	177
174	3836
3255	4192
4889	4582
749	330
2643	2279
3152	455
291	1414
