397	20
494	351
953	183
189	171
584	3495
224	1964
486	151
2876	2
472	11
369	130
520	598
2631	2726
175	642
321	1211
299	535
1063	568
899	361
1094	504
16	509
777	100
323	411
360	116
16	20
201	960
1494	40
1176	619
167	1079
299	1698
273	1242
732	99
330	2918
1152	129
2056	756
1209	2404
4279	4306
235	442
1022	22
2066	321
55	283
16	1727
385	244
172	329
1896	1251
3057	250
459	1772
186	1784
1030	600
346	111
485	265
593	942
1438	388
581	2787
339	85
1880	958
1969	883
1500	740
477	175
737	572
2596	640
599	1
2008	54
15	2782
3661	1573
2420	659
1313	3799
623	14
1678	2182
2225	1384
24	2962
323	161
1056	1255
278	1156
669	77
458	43
561	360
829	19
43	747
3135	250
646	332
1299	3
2335	1486
1771	32
337	54
121	27
1450	56
180	90
12	912
92	194
1343	47
4129	120
3493	3987
1725	951
1121	922
1305	652
1358	1394
1457	2217
116	190
2523	3358
645	544
1216	352
1417	1314
1352	826
3948	1490
3042	1031
1286	270
562	347
340	367
268	35
2152	1
1177	540
317	12
209	5
1994	2865
368	1497
335	1361
960	3095
360	179
876	408
1109	10
215	4700
939	6
4389	305
105	4796
1520	1721
564	924
506	28
3563	1907
1070	1153
2998	1483
97	978
1646	140
120	794
730	574
173	2576
152	338
227	2220
2449	1002
722	9
478	414
107	1058
1929	47
1924	14
1515	8
29	228
1528	13
2916	283
856	188
445	83
262	1376
1867	1016
495	1109
2053	232
3567	72
1211	72
1472	654
980	370
504	1114
1382	229
646	128
853	776
3169	863
49	434
240	938
1318	33
4286	311
643	266
345	1908
1084	456
2146	654
1968	264
650	557
2017	216
1651	1891
2942	251
136	137
965	187
1404	1703
1089	789
2533	1459
1960	2426
1203	1428
369	183
1858	1558
2774	1
905	347
29	456
104	630
1389	886
1679	28
750	142
671	4452
212	375
539	597
756	594
1523	130
370	1447
876	1351
355	474
704	1416
1708	21
1979	81
372	500
467	673
192	647
2202	1177
839	762
466	1510
219	957
725	4509
1131	3412
829	130
517	1429
1371	2452
443	68
1538	31
807	0
383	3045
734	2313
141	367
1643	2
309	1639
282	794
197	40
890	83
624	299
830	2310
1200	4
1215	756
335	848
